id,name,repo_url,local_path
55337,afnetworking,git@github.com:AFNetworking/AFNetworking.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33769/afnetworking
12731,classpath,git://git.savannah.gnu.org/git/classpath,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33793/classpath
44825,open_build_service,git@github.com:openSUSE/open-build-service.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33878/open_build_service
32087,proxytunnel,git@github.com:proxytunnel/proxytunnel.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/19698/proxytunnel
49174,npm,git@github.com:npm/cli.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/32154/cli
13905,python,git@github.com:python/cpython.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/31909/cpython
8888,libhtp,git@github.com:ironbee/libhtp.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/5810/libhtp
15866,sumatrapdf,git@github.com:sumatrapdfreader/sumatrapdf.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/195/sumatrapdf
14245,webmail,git@github.com:roundcube/roundcubemail.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33901/roundcube_webmail
28274,linux_imaging_and_printing,git@github.com:larstobi/hplip.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33864/linux_imaging_and_printing
26281,crm,git@github.com:vtiger-crm/vtigercrm.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33801/crm
17228,publisher,git@github.com:Microsoft/types-publisher.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33895/publisher
14875,spree,git@github.com:spree/spree.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33177/spree
15287,werkzeug,git@github.com:pallets/werkzeug.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/32585/werkzeug
15918,bigtree_cms,git@github.com:bigtreecms/BigTree-CMS.git,/REPOS/repo-pipeline/scan/repo_clone_local/repo_dir/library_repos/git/33779/bigtree_cms
